"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"268","Zay Jones","ARI","9","WR95","","","","244.0"
"269","Brandon Marshall","","","WR96","","","","246.0"
"270","Ryan Succop","","","K19","","","","247.0"
"271","Terrance Williams","","","WR97","","","","249.0"
"272","Garrett Celek","","","TE33","","","","250.0"
"273","Blake Jarwin","","","TE34","","","","251.0"
"274","Ed Dickson","","","TE35","","","","253.0"
"275","Cordarrelle Patterson","PIT","7","RB74","","","","254.0"
"276","Brandon Zylstra","","","WR98","","","","255.0"
"277","Rod Smith","","","RB75","","","","257.0"
"278","Tre'Quan Smith","DET","6","WR99","","","","258.0"
"279","Darren Sproles","","","RB76","","","","259.0"
"280","Elijah McGuire","","","RB77","","","","260.0"
"281","Virgil Green","","","TE36","","","","261.0"
"282","Antonio Gates","","","TE37","","","","262.0"
"283","Kai Forbath","LAR","12","K20","","","","263.0"
"284","Jonathan Stewart","","","RB78","","","","264.0"
"285","Dante Pettis","CHI","5 ","WR100","","","","265.0"
"286","Sam Darnold","MIN","10","QB33","","","","266.0"
"287","Chase Edmonds","TB","5","RB79","","","","267.0"
"288","Taywan Taylor","","","WR101","","","","268.0"
"289","Stephen Hauschka","","","K21","","","","269.0"
"290","Josh Allen","BUF","11","QB34","","","","271.0"
"291","Keke Coutee","","","WR102","","","","272.0"
"292","DJ Chark Jr.","LAC","8","WR103","","","","273.0"
"293","Mark Andrews","BAL","10","TE38","","","","274.0"
"294","Kevin White ","","","WR104","","","","275.0"
"295","Chester Rogers","","","WR105","","","","277.0"
"296","Stephen Anderson","","","TE39","","","","278.0"
"297","Malcolm Brown ","","","RB80","","","","279.0"
"298","Corey Grant ","","","RB81","","","","280.0"
"299","Adam Shaheen","","","TE40","","","","281.0"
"300","Ameer Abdullah","LV","","RB82","","","","282.0"
"301","Gerald Everett","CHI","5","TE41","","","","283.0"
"302","C.J. Prosise ","","","RB83","","","","284.0"
"303","Jaron Brown","","","WR106","","","","285.0"
"304","Curtis Samuel","BUF","11","WR107","","","","287.0"
"305","Travaris Cadet","","","RB84","","","","288.0"
"306","Rico Gathers","","","TE42","","","","289.0"
"307","Cameron Artis-Payne","","","RB85","","","","290.0"
"308","Ryan Fitzpatrick","","","QB35","","","","291.0"
"309","Wayne Gallman Jr.","","","RB86","","","","292.0"
"310","Nick Foles","","","QB36","","","","293.0"
"311","Charles Sims","","","RB87","","","","294.0"
"312","Geoff Swaim ","","","TE43","","","","295.0"
"313","Josh Rosen","","","QB37","","","","296.0"
"314","Taylor Gabriel","","","WR108","","","","297.0"
"315","Jake Kumerow","","","WR109","","","","298.0"
"316","Nick Vannett","TEN","8","TE44","","","","300.0"
"317","Dustin Hopkins","CLE","11","K22","","","","301.0"
"318","J","","'Mon Moore","","","WR110","","","","302.0"
"319","Matt Barkley","","","QB38","","","","303.0"
"320","Joe Williams","","","RB88","","","","304.0"
"321","Antonio Callaway","","","WR111","","","","305.0"
"322","J.J. Nelson","","","WR112","","","","306.0"
"323","Trent Taylor","SF","11","WR113","","","","307.0"
"324","Brice Butler","","","WR114","","","","308.0"
"325","Mike Gillislee","","","RB89","","","","309.0"
"326","Jacoby Brissett","NE","11","QB39","","","","310.0"
"327","Jonnu Smith","MIA","11 ","TE45","","","","311.0"
"328","Kenny Britt","","","WR115","","","","312.0"
"329","Laquon Treadwell","","","WR116","","","","313.0"
"330","Stevan Ridley","","","RB90","","","","314.0"
